evento,janela_ini,janela_fim,estacao_chuva,n_dias_chuva,chuva_total_mm,chuva_max_diaria_mm,chuva_max_data,uvaia_pico_cm,uvaia_pico_data,lajeado_pico_cm,lajeado_pico_data,lag_dias
out-nov/2022,2022-10-20,2022-11-10,1101,22,56.4,24.2,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,1105,22,94.6,41.2,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,2056,22,103.8,36.2,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,2241,22,128.6,40.4,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,IAT_2450054,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,83811,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,83813,0,sem-dados,sem-dados,sem-dados,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sih:2450021,22,130.0,42.0,2022-10-31,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sih:2549052,22,100.4,23.4,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sih:2550043,22,151.7,54.4,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:1105,22,94.6,41.2,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:1112,22,179.4,58.6,2022-10-31,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:1124,22,118.4,44.2,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:1133,22,130.2,39.8,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:1224,22,118.5,38.13,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2305,22,208.2,70.2,2022-10-31,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2320,22,152.6,51.0,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2411,22,78.2,29.4,2022-10-20,406,2022-11-07,595,2022-11-05,2
out-nov/2022,2022-10-20,2022-11-10,sma:2529,22,123.0,56.6,2022-10-20,406,2022-11-07,595,2022-11-05,2
